Player,2017/18,
Lance Stephenson ,"$4,300,030 ",$0 
Julius Randle ,"$4,268,389 ",$0 
Kyle O'Quinn ,"$4,204,874 ",$0 
Mario Hezonja ,"$4,195,430 ",$0 
Kris Dunn ,"$4,162,964 ",$0 
Noah Vonleh ,"$4,146,770 ",$0 
Jonas Jerebko ,"$4,114,861 ",$0 
Nemanja Bjelica ,"$4,063,426 ",$0 
Jose Juan Barea ,"$4,016,002 ",$0 
Quincy Pondexter ,"$3,964,598 ",$0 
Lauri Markkanen ,"$3,931,380 ",$0 
Nik Stauskas ,"$3,916,470 ",$0 
Willie Cauley-Stein ,"$3,810,526 ",$0 
Paul Pierce ,"$3,785,508 ",$0 
Buddy Hield ,"$3,781,023 ",$0 
Will Barton ,"$3,634,794 ",$0 
Frank Ntilikina ,"$3,601,656 ",$0 
Lavoy Allen ,"$3,600,504 ",$0 
Nenê ,"$3,577,460 ",$0 
Zaza Pachulia ,"$3,577,460 ",$0 
Troy Daniels ,"$3,506,397 ",$0 
Emmanuel Mudiay ,"$3,478,580 ",$0 
Jamal Murray ,"$3,451,669 ",$0 
Elfrid Payton ,"$3,428,029 ",$0 
Doug McDermott ,"$3,389,611 ",$0 
Jodie Meeks ,"$3,384,473 ",$0 
Tyreke Evans ,"$3,384,473 ",$0 
Tarik Black ,"$3,384,473 ",$0 
Dennis Smith ,"$3,310,694 ",$0 
Zach LaVine ,"$3,294,170 ",$0 
Ekpe Udoh ,"$3,291,889 ",$0 
TJ Warren ,"$3,243,467 ",$0 
Stanley Johnson ,"$3,186,754 ","$36,493,200 "
Thon Maker ,"$3,175,422 ",$0 
Marquese Chriss ,"$3,162,065 ",$0 
Zach Collins ,"$3,145,030 ",$0 
Mindaugas Kuzminskas ,"$3,115,372 ",$0 
James Ennis ,"$3,115,372 ",$0 
Seth Curry ,"$3,115,372 ",$0 
Tomas Satoransky ,"$3,086,146 ",$0 
Ramon Sessions ,"$2,395,520 ",$0 
Lucas Nogueira ,"$3,031,937 ",$0 
Jusuf Nurkic ,"$3,031,937 ",$0 
Malik Monk ,"$2,987,883 ",$0 
Frank Kaminsky ,"$2,929,370 ",$0 
Andrew Nicholson ,"$2,926,108 ",$0 
Jakob Poeltl ,"$2,906,779 ",$0 
Luke Kennard ,"$2,838,514 ",$0 
Justise Winslow ,"$2,782,716 ",$0 
Michael Carter-Williams ,"$2,777,531 ",$0 
Cedi Osman ,"$2,718,747 ",$0 
Donovan Mitchell ,"$2,696,551 ",$0 
Gary Harris ,"$2,623,281 ",$0 
Domantas Sabonis ,"$2,623,224 ",$0 
Derrick Rose ,"$428,493 ",$0 
Manu Ginobili ,"$2,571,788 ",$0 
Reggie Bullock ,"$2,571,788 ",$0 
Malcolm Delaney ,"$2,571,788 ",$0 
Bam Adebayo ,"$2,561,871 ",$0 
Georgios Papagiannis ,"$190,720 ",$0 
Myles Turner ,"$2,554,341 ",$0 
Bruno Caboclo ,"$2,521,612 ",$0 
Ronnie Price ,"$2,512,591 ",$0 
Trey Lyles ,"$2,511,505 ",$0 
Dario Saric ,"$2,492,124 ",$0 
Taurean Prince ,"$2,492,124 ",$0 
Rodney Hood ,"$2,455,403 ",$0 
Justin Jackson ,"$2,433,488 ",$0 
Shabazz Napier ,"$2,429,166 ",$0 
Rashad Vaughn ,"$2,234,777 ",$0 
Clint Capela ,"$2,401,565 ",$0 
Nick Collison ,"$2,395,520 ",$0 
Raymond Felton ,"$2,395,520 ",$0 
Jarrett Jack ,"$2,395,520 ",$0 
Jason Terry ,"$2,395,520 ",$0 
Udonis Haslem ,"$2,395,520 ",$0 
David West ,"$2,395,520 ",$0 
Jose Calderon ,"$2,395,520 ",$0 
Devin Booker ,"$2,385,961 ",$0 
Dante Cunningham ,"$2,366,045 ",$0 
Wade Baldwin ,"$1,928,224 ",$0 
Justin Patton ,"$2,312,017 ",$0 
Guerschon Yabusele ,"$2,312,017 ",$0 
Monta Ellis ,"$2,309,877 ",$0 
Cameron Payne ,"$2,266,712 ",$0 
Denzel Valentine ,"$2,249,183 ",$0 
Kyle Anderson ,"$2,213,491 ",$0 
DJ Wilson ,"$2,196,348 ",$0 
Marreese Speights ,"$2,177,744 ",$0 
Michael Beasley ,"$2,177,744 ",$0 
Aaron Brooks ,"$2,177,744 ",$0 
Luc Mbah a Moute ,"$2,177,744 ",$0 
JaVale McGee ,"$2,177,744 ",$0 
Jeff Green ,"$2,177,744 ",$0 
Omri Casspi ,"$2,166,958 ",$0 
Mario Chalmers ,"$2,166,893 ",$0 
Darius Miller ,"$2,160,302 ",$0 
Kelly Oubre ,"$2,153,142 ",$0 
Juan Hernangomez ,"$2,136,477 ",$0 
TJ Leaf ,"$2,086,605 ",$0 
Spencer Hawes ,"$2,064,691 ",$0 
Tim Frazier ,"$2,057,430 ",$0 
Terry Rozier ,"$2,045,621 ",$0 
Luke Babbitt ,"$2,030,847 ",$0 
John Collins ,"$1,992,539 ",$0 
Shabazz Muhammad ,"$357,504 ",$0 
Harry Giles ,"$1,912,793 ",$0 
Troy Williams ,"$1,513,633 ",$0 
Sam Dekker ,"$1,846,132 ",$0 
Terrance Ferguson ,"$1,836,257 ",$0 
Henry Ellenson ,"$1,831,936 ",$0 
Eric Moreland ,"$1,789,964 ",$0 
Jerian Grant ,"$1,763,053 ",$0 
Jarrett Allen ,"$1,762,930 ",$0 
Mike Scott ,"$1,758,628 ",$0 
Jordan Crawford ,"$1,758,628 ",$0 
Tyler Zeller ,"$1,758,628 ",$0 
Quincy Acy ,"$1,758,628 ",$0 
Malik Beasley ,"$1,749,474 ",$0 
OG Anunoby ,"$1,692,442 ",$0 
Delon Wright ,"$1,692,442 ",$0 
Ante Zizic ,"$1,692,442 ",$0 
Caris LeVert ,"$1,679,357 ",$0 
Mike Dunleavy ,"$1,645,944 ",$0 
Timothe Luwawu ,"$1,640,379 ",$0 
Justin Anderson ,"$1,624,794 ",$0 
Tyler Lydon ,"$1,624,794 ",$0 
Ian Clark ,"$1,622,520 ",$0 
DeAndre Bembry ,"$1,612,202 ",$0 
Joffrey Lauvergne ,"$1,568,076 ",$0 
Jerami Grant ,"$1,568,076 ",$0 
Johnny O'Bryant ,"$1,568,076 ",$0 
Tyler Ennis ,"$1,568,076 ",$0 
Glenn Robinson III ,"$1,568,076 ",$0 
Julyan Stone ,"$1,568,076 ",$0 
Spencer Dinwiddie ,"$1,568,076 ",$0 
Joe Harris ,"$1,568,076 ",$0 
Shane Larkin ,"$1,568,076 ",$0 
Bobby Portis ,"$1,559,861 ",$0 
DeAndre Liggins ,"$760,843 ",$0 
Malachi Richardson ,"$1,547,764 ",$0 
Chris McCullough ,"$1,513,633 ",$0 
Raul Neto ,"$1,513,633 ",$0 
Norman Powell ,"$1,513,633 ",$0 
Pat Connaughton ,"$1,513,633 ",$0 
TJ McConnell ,"$1,513,633 ",$0 
Richaun Holmes ,"$1,513,633 ",$0 
Josh Huestis ,"$1,513,633 ",$0 
Tyus Jones ,"$1,513,633 ",$0 
Jordan Mickey ,"$1,513,633 ",$0 
Josh Richardson ,"$1,513,633 ",$0 
Jarell Martin ,"$1,513,633 ",$0 
Montrezl Harrell ,"$1,513,633 ",$0 
Joseph Young ,"$1,513,633 ",$0 
Kevon Looney ,"$1,513,633 ",$0 
Nikola Jokic ,"$1,513,633 ",$0 
Salah Mejri ,"$1,513,633 ",$0 
Larry Nance Jr ,"$1,513,633 ",$0 
Willie Reed ,"$1,513,633 ",$0 
Tony Allen ,"$1,513,633 ",$0 
Caleb Swanigan ,"$1,508,014 ",$0 
Furkan Korkmaz ,"$1,508,014 ",$0 
Okaro White ,"$1,350,303 ",$0 
Rondae Hollis-Jefferson ,"$1,497,521 ",$0 
Willy Hernangomez ,"$1,476,978 ",$0 
Kyle Kuzma ,"$1,464,438 ",$0 
Tony Bradley ,"$1,455,550 ",$0 
Derrick White ,"$1,444,933 ",$0 
Josh Hart ,"$1,434,564 ",$0 
Gerald Green ,"$1,421,070 ",$0 
Brice Johnson ,"$1,369,384 ",$0 
Fred VanVleet ,"$1,350,303 ",$0 
Pascal Siakam ,"$1,350,303 ",$0 
Davis Bertans ,"$1,350,303 ",$0 
Bryn Forbes ,"$1,350,303 ",$0 
Dejounte Murray ,"$1,350,303 ",$0 
Skal Labissiere ,"$1,350,303 ",$0 
Jake Layman ,"$1,350,303 ",$0 
Tyler Ulis ,"$1,350,303 ",$0 
Chasson Randle ,"$1,350,303 ",$0 
Cheick Diallo ,"$1,350,303 ",$0 
Marcus Georges-Hunt ,"$1,350,303 ",$0 
Malcolm Brogdon ,"$1,350,303 ",$0 
AJ Hammons ,"$1,350,303 ",$0 
Rodney McGruder ,"$1,350,303 ",$0 
Wayne Selden ,"$1,350,303 ",$0 
Andrew Harrison ,"$1,350,303 ",$0 
Deyonta Davis ,"$1,350,303 ",$0 
Ivica Zubac ,"$1,350,303 ",$0 
Chinanu Onuaku ,"$1,350,303 ",$0 
Damian Jones ,"$1,350,303 ",$0 
Patrick McCaw ,"$1,350,303 ",$0 
Yogi Ferrell ,"$1,350,303 ",$0 
Dorian Finney-Smith ,"$1,350,303 ",$0 
David Nwaba ,"$1,350,303 ",$0 
Paul Zipser ,"$1,350,303 ",$0 
Treveon Graham ,"$1,350,303 ",$0 
Isaiah Whitehead ,"$1,350,303 ",$0 
Sheldon Mac ,"$1,350,303 ",$0 
Isaiah Taylor ,"$1,350,303 ",$0 
Diamond Stone ,"$1,350,303 ",$0 
Semi Ojeleye ,"$1,328,989 ",$0 
Livio Jean-Charles ,"$1,277,911 ",$0 
Bobby Brown ,"$1,266,863 ",$0 
Frank Mason ,"$1,218,395 ",$0 
Abdel Nader ,"$1,200,853 ",$0 
Isaiah Canaan ,"$45,834 ",$0 
Damyean Dotson ,"$1,131,587 ",$0 
Andrew Bogut ,"$1,109,788 ",$0 
Wesley Iwundu ,"$1,080,151 ",$0 
Justin Hamilton ,"$1,028,715 ",$0 
Festus Ezeli ,"$1,028,715 ",$0 
Gerald Henderson ,"$1,028,715 ",$0 
CJ Watson ,"$1,028,715 ",$0 
Damien Wilkins ,"$1,021,201 ",$0 
Ivan Rabb ,"$977,279 ",$0 
Rade Zagorac ,"$977,279 ",$0 
Ike Anigbogu ,"$977,279 ",$0 
Jason Thompson ,"$918,985 ",$0 
Royce O'Neale ,"$839,035 ",$0 
Alfonzo McKinnie ,"$839,035 ",$0 
Brandon Paul ,"$839,035 ",$0 
Davon Reed ,"$839,035 ",$0 
Khem Birch ,"$839,035 ",$0 
Dakari Johnson ,"$839,035 ",$0 
Frank Jackson ,"$839,035 ",$0 
Sterling Brown ,"$839,035 ",$0 
Dillon Brooks ,"$839,035 ",$0 
Thomas Bryant ,"$839,035 ",$0 
Sindarius Thornwell ,"$839,035 ",$0 
Jawun Evans ,"$839,035 ",$0 
Zhou Qi ,"$839,035 ",$0 
Jordan Bell ,"$839,035 ",$0 
Maxi Kleber ,"$839,035 ",$0 
Dwayne Bacon ,"$839,035 ",$0 
Daniel Theis ,"$839,035 ",$0 
Tyler Dorsey ,"$839,035 ",$0 
Emeka Okafor ,"$836,647 ",$0 
Trey Burke ,"$806,677 ",$0 
Alex Poythress ,"$801,027 ",$0 
Dwight Buycks ,"$769,643 ",$0 
Joel Bolomboy ,"$262,913 ",$0 
Kyle Collinsworth ,"$612,807 ",$0 
Jeff Withey ,"$610,830 ",$0 
Kay Felder ,"$488,244 ",$0 
Leandro Barbosa ,"$514,357 ",$0 
Michael Gbinije ,"$514,357 ",$0 
Derrick Jones ,"$79,468 ",$0 
Nicolas Brussino ,"$404,327 ",$0 
Antonius Cleveland ,"$232,274 ",$0 
Brandon Jennings ,"$391,765 ",$0 
Demetrius Jackson ,"$95,523 ",$0 
Travis Wear ,"$312,781 ",$0 
Cameron Oliver ,"$308,614 ",$0 
Shaquille Harrison ,"$237,015 ",$0 
Larry Drew II ,"$152,574 ",$0 
Jaylen Morris ,"$203,832 ",$0 
Nigel Hayes ,"$47,402 ",$0 
David Stockton ,"$198,348 ",$0 
Quinn Cook ,"$102,871 ",$0 
Georges Niang ,"$102,871 ",$0 
Aaron Harrison ,"$179,582 ",$0 
Omari Johnson ,"$175,390 ",$0 
Naz Long ,"$171,958 ",$0 
Jarell Eddie ,"$85,515 ",$0 
Rodney Purvis ,"$170,650 ",$0 
Mike James ,"$79,468 ",$0 
Briante Weber ,"$79,468 ",$0 
Marquis Teague ,"$162,479 ",$0 
Gary Payton II ,"$79,468 ",$0 
Jeremy Evans ,"$158,482 ",$0 
Carrick Felix ,"$144,947 ",$0 
Damion Lee ,"$142,208 ",$0 
Kendrick Perkins ,"$135,339 ",$0 
Milton Doyle ,"$130,903 ",$0 
Brandon Rush ,"$123,035 ",$0 
Ty Lawson ,"$122,426 ",$0 
Derrick Williams ,"$107,047 ",$0 
KJ McDaniels ,"$102,871 ",$0 
Tim Quarterman ,"$99,174 ",$0 
Josh Gray ,"$94,805 ",$0 
Walter Lemon Jr ,"$94,805 ",$0 
Jaylen Johnson ,"$90,065 ",$0 
MarShon Brooks ,"$88,590 ",$0 
CJ Fair ,"$85,324 ",$0 
Devin Robinson ,"$79,468 ",$0 
Michael Young ,"$79,468 ",$0 
Erik McCree ,"$79,468 ",$0 
Nate Wolters ,"$79,468 ",$0 
Eric Griffin ,"$79,468 ",$0 
Lorenzo Brown ,"$79,468 ",$0 
Malcolm Miller ,"$79,468 ",$0 
Matt Costello ,"$79,468 ",$0 
Darrun Hilliard ,"$79,468 ",$0 
Jack Cooley ,"$79,468 ",$0 
JaKarr Sampson ,"$79,468 ",$0 
CJ Wilcox ,"$79,468 ",$0 
Danuel House ,"$79,468 ",$0 
Alec Peters ,"$79,468 ",$0 
James Young ,"$79,468 ",$0 
Jacob Pullen ,"$79,468 ",$0 
James Michael McAdoo ,"$79,468 ",$0 
Jamel Artis ,"$79,468 ",$0 
Adreian Payne ,"$79,468 ",$0 
PJ Dozier ,"$79,468 ",$0 
Daniel Hamilton ,"$79,468 ",$0 
Isaiah Hicks ,"$79,468 ",$0 
Luke Kornet ,"$79,468 ",$0 
Charles Cooke ,"$79,468 ",$0 
Amile Jefferson ,"$79,468 ",$0 
Anthony Brown ,"$79,468 ",$0 
Marshall Plumlee ,"$79,468 ",$0 
Xavier Munford ,"$79,468 ",$0 
Derrick Walton ,"$79,468 ",$0 
Matt Williams ,"$79,468 ",$0 
Myke Henry ,"$79,468 ",$0 
Vince Hunter ,"$79,468 ",$0 
Kobi Simmons ,"$79,468 ",$0 
Vander Blue ,"$79,468 ",$0 
Alex Caruso ,"$79,468 ",$0 
Tyrone Wallace ,"$79,468 ",$0 
CJ Williams ,"$79,468 ",$0 
Jamil Wilson ,"$79,468 ",$0 
Ben Moore ,"$79,468 ",$0 
Edmond Sumner ,"$79,468 ",$0 
Markel Brown ,"$79,468 ",$0 
RJ Hunter ,"$79,468 ",$0 
Chris Boucher ,"$79,468 ",$0 
Reggie Hearn ,"$79,468 ",$0 
Luis Montero ,"$79,468 ",$0 
Monte Morris ,"$79,468 ",$0 
Torrey Craig ,"$79,468 ",$0 
Jalen Jones ,"$79,468 ",
Gian Clavell ,"$79,468 ",
Johnathan Motley ,"$79,468 ",
London Perrantes ,"$79,468 ",
John Holland ,"$79,468 ",
Ryan Arcidiacono ,"$79,468 ",
Antonio Blakeney ,"$79,468 ",
Marcus Paige ,"$79,468 ",
Mangok Mathiang ,"$79,468 ",
James Webb ,"$79,468 ",
Jacob Wiley ,"$79,468 ",
Yakuba Ouattara ,"$79,468 ",
Jabari Bird ,"$79,468 ",
Kadeem Allen ,"$79,468 ",
Andrew White ,"$79,468 ",
Tyler Cavanaugh ,"$79,468 ",
Josh Magette ,"$79,468 ",
Scotty Hopson ,"$76,287 ",
Jonathan Gibson ,"$76,287 ",
Xavier Silas ,"$76,287 ",
Daniel Ochefu ,"$51,435 ",
Bronson Koenig ,"$51,435 ",
VJ Beachem ,"$51,435 ",
Landry Nnoko ,"$51,435 ",
Andre Ingram ,"$47,402 ",
Trey McKinney-Jones ,"$47,402 ",
Aaron Jackson ,"$47,402 ",
Jameel Warney ,"$47,402 ",
Marcus Thornton II ,"$47,402 ",
