Player,2018/19,,,,,
Ed Davis ,"$4,449,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Kyle O'Quinn ,"$4,449,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Lance Stephenson ,"$4,449,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Wendell Carter ,"$4,446,840 ","$5,208,000 ","$5,455,920 ","$6,929,018 ","$9,291,813 ",$0 
Alex Len ,"$4,350,000 ","$4,160,000 ",$0 ,$0 ,$0 ,$0 
Luc Mbah a Moute ,"$4,320,500 ",$0 ,$0 ,$0 ,$0 ,$0 
Mike Scott ,"$4,320,500 ",$0 ,$0 ,$0 ,$0 ,$0 
Emmanuel Mudiay ,"$4,294,479 ","$5,758,897 ",$0 ,$0 ,$0 ,$0 
Kris Dunn ,"$4,221,000 ","$5,348,007 ","$7,091,457 ",$0 ,$0 ,$0 
Frank Ntilikina ,"$4,155,720 ","$4,855,800 ","$6,176,578 ","$8,326,027 ",$0 ,$0 
Glenn Robinson III ,"$4,075,000 ","$4,278,750 ",$0 ,$0 ,$0 ,$0 
Collin Sexton ,"$4,073,760 ","$4,771,080 ","$4,998,360 ","$6,357,913 ","$8,570,467 ",$0 
Al Jefferson ,"$4,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Stanley Johnson ,"$3,940,401 ","$5,311,660 ",$0 ,$0 ,$0 ,$0 
Buddy Hield ,"$3,833,760 ","$4,861,207 ","$6,484,851 ",$0 ,$0 ,$0 
Dennis Smith ,"$3,819,960 ","$4,463,640 ","$5,686,677 ","$7,705,447 ",$0 ,$0 
Kevin Knox ,"$3,744,840 ","$4,385,640 ","$4,594,680 ","$5,853,622 ","$7,931,658 ",$0 
Jose Juan Barea ,"$3,710,850 ",$0 ,$0 ,$0 ,$0 ,$0 
Alex Abrines ,"$3,667,645 ",$0 ,$0 ,$0 ,$0 ,$0 
Nenê ,"$3,651,480 ","$4,825,360 ",$0 ,$0 ,$0 ,$0 
Thon Maker ,"$3,639,636 ","$5,175,983 ","$4,861,853 ",$0 ,$0 ,$0 
Zach Collins ,"$3,628,920 ","$4,240,200 ","$5,406,255 ","$7,363,319 ",$0 ,$0 
Frank Kaminsky ,"$3,627,842 ","$4,915,726 ",$0 ,$0 ,$0 ,$0 
Jodie Meeks ,"$3,577,452 ",$0 ,$0 ,$0 ,$0 ,$0 
Mikal Bridges ,"$3,557,400 ","$4,166,280 ","$4,364,640 ","$5,564,916 ","$7,579,415 ",$0 
