Player,2016/17,,,
Mindaugas Kuzminskas ,"$3,029,915 ","$5,347,946 ","$7,396,210 ",$0 
Dion Waiters ,"$3,029,915 ",$0 ,$0 ,$0 
James Ennis ,"$3,029,915 ",$0 ,$0 ,$0 
Nenê ,"$3,029,915 ","$7,115,650 ",$0 ,$0 
Zaza Pachulia ,"$3,029,915 ",$0 ,$0 ,$0 
Seth Curry ,"$3,029,915 ","$5,258,735 ","$7,314,900 ",$0 
Tomas Satoransky ,"$3,001,490 ","$2,844,429 ","$2,844,429 ",$0 
Tibor Pleiss ,"$2,927,454 ","$7,031,451 ",$0 ,$0 
Noah Vonleh ,"$2,876,600 ",$0 ,$0 ,$0 
Frank Kaminsky ,"$2,854,268 ",$0 ,$0 ,$0 
Dennis Schroeder ,"$2,831,875 ",$0 ,$0 ,$0 
Jakob Poeltl ,"$2,827,042 ","$5,177,186 ","$7,237,706 ",$0 
Aaron Brooks ,"$2,822,902 ","$6,718,494 ",$0 ,$0 
Elfrid Payton ,"$2,732,569 ",$0 ,$0 ,$0 
Justise Winslow ,"$2,711,491 ",$0 ,$0 ,$0 
Thon Maker ,"$2,685,521 ",$0 ,$0 ,$0 
Martell Webster ,"$2,613,798 ","$4,922,115 ","$6,915,571 ",$0 
Richard Jefferson ,"$2,613,798 ",$0 ,$0 ,$0 
Randy Foye ,"$2,613,798 ","$6,422,172 ",$0 ,$0 
Malcolm Delaney ,"$2,613,798 ",$0 ,$0 ,$0 
Doug McDermott ,"$2,596,066 ",$0 ,$0 ,$0 
Domantas Sabonis ,"$2,551,276 ",$0 ,$0 ,$0 
Shelvin Mack ,"$2,544,097 ",$0 ,$0 ,$0 
Myles Turner ,"$2,488,796 ",$0 ,$0 ,$0 
Tony Snell ,"$2,476,131 ",$0 ,$0 ,$0 
Archie Goodwin ,"$181,151 ",$0 ,$0 ,$0 
Gorgui Dieng ,"$2,455,697 ",$0 ,$0 ,$0 
Trey Lyles ,"$2,447,142 ","$4,681,728 ","$6,610,599 ",$0 
Mason Plumlee ,"$2,434,523 ",$0 ,$0 ,$0 
Dario Saric ,"$2,423,806 ",$0 ,$0 ,$0 
Taurean Prince ,"$2,423,806 ",$0 ,$0 ,$0 
Tim Hardaway Jr ,"$2,385,462 ","$6,139,764 ",$0 ,$0 
Reggie Bullock ,"$2,358,319 ",$0 ,$0 ,$0 
Alonzo Gee ,"$894,344 ",$0 ,$0 ,$0 
Zach LaVine ,"$2,342,883 ",$0 ,$0 ,$0 
Devin Booker ,"$2,324,816 ",$0 ,$0 ,$0 
Luc Mbah a Moute ,"$2,303,279 ",$0 ,$0 ,$0 
Georgios Papagiannis ,"$2,302,484 ",$0 ,$0 ,$0 
Maurice Williams ,"$2,294,392 ",$0 ,$0 ,$0 
Andre Roberson ,"$2,282,444 ",$0 ,$0 ,$0 
TJ Warren ,"$2,225,827 ",$0 ,$0 ,$0 
Rudy Gobert ,"$2,217,846 ",$0 ,$0 ,$0 
Cameron Payne ,"$2,208,638 ",$0 ,$0 ,$0 
Joe Ingles ,"$2,195,590 ",$0 ,$0 ,$0 
Denzel Valentine ,"$2,187,435 ","$4,453,617 ","$6,319,683 ",$0 
Tim Frazier ,"$2,185,135 ","$5,899,793 ",$0 ,$0 
Adreian Payne ,"$2,114,291 ",$0 ,$0 ,$0 
Kelly Oubre ,"$2,097,981 ","$10,690,909 ",$0 ,$0 
Juan Hernangomez ,"$2,077,907 ","$4,253,357 ","$6,065,287 ",$0 
Lucas Nogueira ,"$2,008,777 ","$2,245,400 ",$0 ,$0 
Jusuf Nurkic ,"$2,008,777 ","$5,698,338 ",$0 ,$0 
Terry Rozier ,"$1,993,220 ",$0 ,$0 ,$0 
James Young ,"$1,908,282 ",$0 ,$0 ,$0 
Rashad Vaughn ,"$1,893,477 ",$0 ,$0 ,$0 
Kevin Seraphin ,"$1,881,934 ",$0 ,$0 ,$0 
Wade Baldwin ,"$1,875,410 ",$0 ,$0 ,$0 
